rating,artist,song
8,Soha,C'est bien mieux comme ca
8,Spencer Davis Group,I'm A Man
8,Spirit,It Shall Be
8,Spirit,Fresh Garbage
8,Spoon,The Mystery Zone
8,Stevie Ray Vaughan,Cold Shot
8,Stevie Ray Vaughan,Pride and Joy
8,Stevie Wonder,Superstition
8,Stevie Wonder,Pastime Paradise
8,Stone Roses,Fools Gold
8,Stone Temple Pilots,Interstate Love Song
8,Strawberry Alarm Clock,Incense and Peppermints
8,Sugarloaf,Green-Eyed Lady
8,Supertramp,Even In The Quietest Moments
8,Supertramp,Breakfast In America
8,Syntax,Bliss
8,The Airborne Toxic Event,Sometime Around Midnight
8,The Beatles,Dig A Pony
8,The Black Keys,Turn Blue
8,The Black Keys,Mind Eraser
8,The Black Keys,Lonely Boy
8,The Black Keys,Run Right Back
8,The Black Keys,Dead and Gone
8,The Breeders,Cannonball
8,The Cult,She Sells Sanctuary
8,The Dandy Warhols,Plan A
8,The Dandy Warhols,You Were The Last High
8,The Derek Trucks Band,Already Free (live)
8,The Derek Trucks Band,Down In The Flood
8,The Doors,Light My Fire
8,The Eagles,Hotel California (live acoustic)
8,The Eagles,Journey Of The Sorcerer
8,The Heavy,Short Change Hero
8,The Kinks,You Really Got Me
8,The Lively Ones,Surf Rider
8,The Melodians,Rivers of Babylon
8,The Moody Blues,Nights in White Satin
8,The Postal Service,Such Great Heights
8,The Rolling Stones,Street Fighting Man
8,The Rolling Stones,Wild Horses
8,The Rolling Stones,Country Honk
8,The Rolling Stones,Honky Tonk Women
8,The Rolling Stones,Not Fade Away
8,The Rolling Stones,Miss You
8,The Shadows,Apache
8,The Verve,Lucky Man
8,The White Stripes,Ball And Biscuit
8,The Who,I Can't Explain
8,The Who,Baba O'Riley
8,Toad The Wet Sprocket,Something's Always Wrong
8,Todd Hannigan,Thicker Than Water
8,Tom Petty & The Heartbreakers,Learning To Fly
8,Tom Petty & The Heartbreakers,Shadow People
8,Tori Amos,Seven Sisters
8,Trace Bundy,Bristlecone
8,Traffic,Dear Mr. Fantasy
8,Trentemøller,Candy Tongue
8,U2,Magnificent
8,U2,I Still Haven't Found What I'm Looking F
8,U2,Beautiful Day
8,U2,One
8,Unkle,Be There (w/ Ian Brown)
8,Unkle,Reign
8,Van Morrison,Into The Mystic
8,Vast,Loneliness Is Fine
8,Vienna Teng,My Medea
8,Vince Guaraldi Trio,Cast Your Fate To The Wind
8,Warren Zevon,Werewolves Of London
8,Wilco,Box Full of Letters
8,William Orbit,Water from a Vine Leaf (w/ Beth Orton)
8,Wim Mertens,Close Cover
8,Younger Brother,Ribbon On A Branch
8,Zero 7,In the Waiting Line
7,2raumwohnung,Ich Weiß Warum
7,Adiemus,Adiemus
7,Aimee Mann,The Scientist (Live)
7,Aimee Mann,Save Me
7,Aimee Mann,Humpty Dumpty
7,Air,All I Need
7,Albert King & Stevie Ray Vaughan,Match Box Blues
7,Albert King & Stevie Ray Vaughan,Born Under A Bad Sign
7,Al Green,Love and Happiness
7,Allman Brothers,Soulshine
7,Allman Brothers,Trouble No More
7,Alt-J,Arrival In Nara
7,Alt-J,Something Good
7,Amadou & Mariam,Ce N'est Pas Bon
7,Amanda Jenssen,Happyland (Desert Mix)
7,Amelia Curran,Scattered & Small
7,Amy MacDonald,Across the Nile
7,Amy MacDonald,This Is the Life
7,Ane Brun,Virvelvind
7,Angelo Badalamenti,Laurens Walking
7,Antje Duvekot,Scream
7,Aquilo,Human
7,Bahamas,Lost In The Light
7,Band of Horses,The Funeral
7,Band of Skulls,Wanderluster
7,Beck,Dark Star
7,Beck,Heart is a Drum
7,Beck,Broken Drum (Boards of Canada Remix)
7,Béla Fleck,Katmandu
7,Ben Harper,Number With No Name
7,Ben Harper,Faded
7,Benny Goodman,"Sing, Sing, Sing"
7,Beth Orton,Stolen Car
7,Beth Orton,Thinking About Tomorrow
7,Big Head Todd & The Monsters,Bittersweet
7,Big Sugar,Come A Little Closer
7,Billy Preston,Outa Space
7,Blackfield,Christenings
7,Blackfield,My Gift Of Silence
7,Black Uhuru,Youth of Eglington
